Date,Month,Year,Quarter,Revenue,COGS,Gross_Profit,Operating_Expenses,EBITDA,Depreciation_Amortization,EBIT,Interest_Expense,EBT,Tax,Net_Income,Division
2023-01-01,January,2023,Q1,450000,270000,180000,95000,85000,12000,73000,8000,65000,16250,48750,North
2023-02-01,February,2023,Q1,480000,288000,192000,98000,94000,12000,82000,8000,74000,18500,55500,North
2023-03-01,March,2023,Q1,510000,300000,210000,102000,108000,12000,96000,8000,88000,22000,66000,North
2023-04-01,April,2023,Q2,530000,312000,218000,105000,113000,12000,101000,8000,93000,23250,69750,North
2023-05-01,May,2023,Q2,560000,325000,235000,108000,127000,12000,115000,8000,107000,26750,80250,North
2023-06-01,June,2023,Q2,590000,341000,249000,112000,137000,12000,125000,8000,117000,29250,87750,North
2023-07-01,July,2023,Q3,610000,354000,256000,115000,141000,12000,129000,8000,121000,30250,90750,North
2023-08-01,August,2023,Q3,625000,362000,263000,118000,145000,12000,133000,8000,125000,31250,93750,North
2023-09-01,September,2023,Q3,648000,375000,273000,121000,152000,12000,140000,8000,132000,33000,99000,North
2023-10-01,October,2023,Q4,670000,385000,285000,124000,161000,12000,149000,8000,141000,35250,105750,North
2023-11-01,November,2023,Q4,695000,400000,295000,128000,167000,12000,155000,8000,147000,36750,110250,North
2023-12-01,December,2023,Q4,720000,414000,306000,132000,174000,12000,162000,8000,154000,38500,115500,North
2024-01-01,January,2024,Q1,510000,300000,210000,102000,108000,13000,95000,9000,86000,21500,64500,North
2024-02-01,February,2024,Q1,545000,318000,227000,107000,120000,13000,107000,9000,98000,24500,73500,North
2024-03-01,March,2024,Q1,578000,336000,242000,111000,131000,13000,118000,9000,109000,27250,81750,North
2024-04-01,April,2024,Q2,605000,350000,255000,115000,140000,13000,127000,9000,118000,29500,88500,North
2024-05-01,May,2024,Q2,632000,364000,268000,119000,149000,13000,136000,9000,127000,31750,95250,North
2024-06-01,June,2024,Q2,660000,378000,282000,123000,159000,13000,146000,9000,137000,34250,102750,North
2024-07-01,July,2024,Q3,685000,392000,293000,127000,166000,13000,153000,9000,144000,36000,108000,North
2024-08-01,August,2024,Q3,710000,405000,305000,131000,174000,13000,161000,9000,152000,38000,114000,North
2024-09-01,September,2024,Q3,738000,420000,318000,135000,183000,13000,170000,9000,161000,40250,120750,North
2024-10-01,October,2024,Q4,765000,435000,330000,139000,191000,13000,178000,9000,169000,42250,126750,North
2024-11-01,November,2024,Q4,792000,450000,342000,143000,199000,13000,186000,9000,177000,44250,132750,North
2024-12-01,December,2024,Q4,820000,465000,355000,148000,207000,13000,194000,9000,185000,46250,138750,North
2023-01-01,January,2023,Q1,320000,195000,125000,72000,53000,8500,44500,5500,39000,9750,29250,South
2023-02-01,February,2023,Q1,340000,207000,133000,75000,58000,8500,49500,5500,44000,11000,33000,South
2023-03-01,March,2023,Q1,362000,218000,144000,79000,65000,8500,56500,5500,51000,12750,38250,South
2023-04-01,April,2023,Q2,380000,229000,151000,82000,69000,8500,60500,5500,55000,13750,41250,South
2023-05-01,May,2023,Q2,398000,240000,158000,85000,73000,8500,64500,5500,59000,14750,44250,South
2023-06-01,June,2023,Q2,415000,250000,165000,88000,77000,8500,68500,5500,63000,15750,47250,South
2023-07-01,July,2023,Q3,430000,259000,171000,91000,80000,8500,71500,5500,66000,16500,49500,South
2023-08-01,August,2023,Q3,445000,268000,177000,94000,83000,8500,74500,5500,69000,17250,51750,South
2023-09-01,September,2023,Q3,462000,278000,184000,97000,87000,8500,78500,5500,73000,18250,54750,South
2023-10-01,October,2023,Q4,478000,288000,190000,100000,90000,8500,81500,5500,76000,19000,57000,South
2023-11-01,November,2023,Q4,495000,298000,197000,103000,94000,8500,85500,5500,80000,20000,60000,South
2023-12-01,December,2023,Q4,512000,308000,204000,107000,97000,8500,88500,5500,83000,20750,62250,South
2024-01-01,January,2024,Q1,365000,218000,147000,82000,65000,9200,55800,6200,49600,12400,37200,South
2024-02-01,February,2024,Q1,388000,231000,157000,86000,71000,9200,61800,6200,55600,13900,41700,South
2024-03-01,March,2024,Q1,412000,245000,167000,90000,77000,9200,67800,6200,61600,15400,46200,South
2024-04-01,April,2024,Q2,435000,258000,177000,94000,83000,9200,73800,6200,67600,16900,50700,South
2024-05-01,May,2024,Q2,460000,272000,188000,98000,90000,9200,80800,6200,74600,18650,55950,South
2024-06-01,June,2024,Q2,485000,286000,199000,103000,96000,9200,86800,6200,80600,20150,60450,South
2024-07-01,July,2024,Q3,510000,300000,210000,107000,103000,9200,93800,6200,87600,21900,65700,South
2024-08-01,August,2024,Q3,535000,314000,221000,112000,109000,9200,99800,6200,93600,23400,70200,South
2024-09-01,September,2024,Q3,562000,329000,233000,117000,116000,9200,106800,6200,100600,25150,75450,South
2024-10-01,October,2024,Q4,588000,344000,244000,122000,122000,9200,112800,6200,106600,26650,79950,South
2024-11-01,November,2024,Q4,615000,359000,256000,127000,129000,9200,119800,6200,113600,28400,85200,South
2024-12-01,December,2024,Q4,642000,374000,268000,132000,136000,9200,126800,6200,120600,30150,90450,South
